ncaa_id,first_name,last_name,portal_name,institution,conference,division,transfer_date,update_date,status,year,sport,team_id,player_id_64a,player_id_ncaa_stats,matched_name,match_score,match_method,confidence,position,class_year,player_csv_team_id
2008907324,SAMANTHA,WOODS,Samantha Woods,"University of Maryland, College Park",Big Ten Conference,I,04/06/2026,04/06/2026,Active,2025-26,Softball,1200,97245,2806453,Sammi Woods,72.0,team+lastname_diff_first,REVIEW,SS,Sr,1200
2110350185,KATHERINE,WARD,Katherine Ward,University of North Georgia,Peach Belt Conference,II,01/27/2026,03/13/2026,Active,2025-26,Softball,1399,89726,2816544,Katie Ward,82.0,team+lastname_diff_first,REVIEW,INF,,1399
2603837161,ELYZE,LOPEZ,Elyze Lopez,New Jersey City University,New Jersey Athletic Conference,III,03/05/2026,03/05/2026,Active,2025-26,Softball,1982,124445,3127084,E. Lopez,73.7,team+lastname_diff_first,REVIEW,P,Fr,1982
2208648994,MATTISON,BELIVEAU,Mattison Beliveau,University of Wisconsin-Madison,Big Ten Conference,I,12/01/2025,02/21/2026,Matriculated,2025-26,Softball,1262,107145,3098201,Mattie Beliveau,82.0,team+lastname_diff_first,REVIEW,P,So,1104
2309104833,BROOKLYNN,CLARK,Brooklynn Clark,Northwest Nazarene University,Great Northwest Athletic Conference,II,11/19/2025,02/21/2026,Matriculated,2025-26,Softball,1561,81165,2937572,Ava Clark,50.0,team+lastname_diff_first,REVIEW,CF,Jr,1561
2105174757,ISABELLA,HESSIAN,Isabella Hessian,Coker University,South Atlantic Conference,II,10/23/2025,02/21/2026,Signed,2025-26,Softball,1441,99075,2818956,Tibby Hessian,69.0,team+lastname_diff_first,REVIEW,P,Jr,1569
2202438573,SAMANTHA,RYAN,Samantha Ryan,Saint Anselm College,Northeast 10 Conference,II,12/13/2025,02/21/2026,Signed,2025-26,Softball,1597,97071,2946635,Sam Ryan,76.2,team+lastname_diff_first,REVIEW,P,Jr,1371
2301751800,LINSLEY,BROWN,Linsley Brown,University of North Georgia,Peach Belt Conference,II,01/06/2026,02/10/2026,Matriculated,2025-26,Softball,1399,143917,3240444,Catelyn Brown,61.5,team+lastname_diff_first,REVIEW,OF,Fr,1399
2109311874,JASMINE,JONES,Jasmine Jones,Jacksonville University,Atlantic Sun Conference,I,12/01/2025,02/08/2026,Matriculated,2025-26,Softball,1334,87813,2950115,Jazz Jones,69.6,team+lastname_diff_first,REVIEW,SS,Jr,1633
2103123642,ABIGAIL,GREENE,Abigail Greene,Curry College,Conference of New England,III,01/31/2026,02/01/2026,Active,2025-26,Softball,1978,123312,3116041,Abby Greene,72.0,team+lastname_diff_first,REVIEW,SS,,1978
2205559265,ADISON,RUMLER,Adison Rumler,University of Illinois Springfield,Great Lakes Valley Conference,II,11/04/2025,01/06/2026,Active,2025-26,Softball,1518,78929,2943103,Adi Rumler,82.0,team+lastname_diff_first,REVIEW,1B,Jr,1518
2305911564,SAYLOR,DAVIS,Saylor Davis,Oklahoma State University,Big 12 Conference,I,12/01/2025,12/02/2025,Active,2025-26,Softball,1119,96723,2950410,Rosie Davis,60.9,team+lastname_diff_first,REVIEW,3B,Jr,1119
2110359138,LYNDA,ROBERTS,Lynda Roberts,East Central University,Great American Conference,II,12/01/2025,12/01/2025,Active,2025-26,Softball,1586,105376,3102971,Shayne Roberts,51.9,team+lastname_diff_first,REVIEW,CF,,1586
2310144297,ABIGAILE,WATKINS,Abigaile Watkins,Central Washington University,Great Northwest Athletic Conference,II,10/31/2025,10/31/2025,Active,2025-26,Softball,1634,105261,3085363,Abby Watkins,71.4,team+lastname_diff_first,REVIEW,2B,,1634
2206587462,ELIZABETH,PEOPLES,Elizabeth Peoples,Yale University,The Ivy League,I,10/08/2025,10/08/2025,Active,2025-26,Softball,1237,91853,2812056,Libby Peoples,73.3,team+lastname_diff_first,REVIEW,SS,Sr,1237
2207621278,ELIZABETH,MINOBE,Elizabeth Minobe,DePauw University,North Coast Athletic Conference,III,08/13/2025,08/13/2025,Active,2025-26,Softball,1690,91851,2978877,Libby Minobe,71.4,team+lastname_diff_first,REVIEW,1B,Jr,1690
