team_name,city,state,lat,lon
Georgetown,Washington,DC,38.908809,-77.073463
Georgia,Athens,GA,33.956262,-83.374039
Georgia St.,Atlanta,GA,33.7527,-84.38667
Georgia Tech,Atlanta,GA,33.77242,-84.394832
Gonzaga,Spokane,WA,47.666531,-117.400625
Goshen,Goshen,IN,41.563582,-85.827795
Grace Christian (MI),Wyoming,MI,42.919541,-85.692077
Grambling,Grambling,LA,32.523797,-92.713245
Grand Canyon,Phoenix,AZ,33.513231,-112.129929
Grand View,Des Moines,IA,41.620813,-93.604352
Green Bay,Green Bay,WI,44.532298,-87.919973
Hampton,Hampton,VA,37.019944,-76.339161
Hannibal-La Grange,Hannibal,MO,39.729015,-91.39094
Harris-Stowe,Saint Louis,MO,38.631744,-90.224288
Harvard,Cambridge,MA,42.374471,-71.118313
Hawaii,Honolulu,HI,21.298598,-157.818979
High Point,High Point,NC,35.972035,-79.994675
Hofstra,Hempstead,NY,40.715959,-73.60078
Holy Cross,Worcester,MA,42.23752,-71.808214
Hope Int'l,Fullerton,CA,33.87616,-117.88573
Houston,Houston,TX,29.720393,-95.343537
Houston Christian,Houston,TX,29.693819,-95.515954
Houston-Victoria,Victoria,TX,28.816248,-96.976334
Howard,Washington,DC,38.922392,-77.018966
Huntington,Huntington,IN,40.898152,-85.497317
Huston-Tillotson,Austin,TX,30.264667,-97.721691
IU Indy,Indianapolis,IN,39.772948,-86.172217
IUPUC,Columbus,IN,39.2014,-85.9214
Idaho St.,Pocatello,ID,42.863832,-112.432312
Illinois,Champaign,IL,40.104718,-88.229114
Illinois St.,Normal,IL,40.509403,-88.990058
Indiana,Bloomington,IN,39.16609,-86.526559
Indiana St.,Terre Haute,IN,39.469073,-87.407846
Indiana Tech,Fort Wayne,IN,41.078365,-85.116479
Iona,New Rochelle,NY,40.925725,-73.788046
Iowa,Iowa City,IA,41.661935,-91.536425
Iowa St.,Ames,IA,42.026212,-93.648504
Jackson St.,Jackson,MS,32.296105,-90.207405
Jacksonville,Jacksonville,FL,30.353227,-81.60458
Jacksonville St.,Jacksonville,AL,33.822938,-85.765321
James Madison,Harrisonburg,VA,38.436311,-78.870484
Jarvis Christian,Hawkins,TX,32.587942,-95.181513
Judson (IL),Elgin,IL,42.061754,-88.291336
Kansas,Lawrence,KS,38.958549,-95.247567
Kansas City,Kansas City,MO,39.034179,-94.582141
Kansas St.,Manhattan,KS,39.188648,-96.581077
Kennesaw St.,Kennesaw,GA,34.038807,-84.583052
Kent St.,Kent,OH,41.146653,-81.342533
Kent St.-Tuscarawas,New Philadelphia,OH,40.467736,-81.407707
Kentucky,Lexington,KY,38.038911,-84.504747
LIU,Brookville,NY,40.820714,-73.593678
LMU (CA),Los Angeles,CA,33.97085,-118.415744
LSU,Baton Rouge,LA,30.414986,-91.178921
LSU-Alexandria,Alexandria,LA,31.178616,-92.414409
La Salle,Philadelphia,PA,40.037979,-75.153061
La Sierra,Riverside,CA,33.910704,-117.500054
La. Christian,Pineville,LA,31.324528,-92.425973
Lafayette,Easton,PA,40.69956,-75.209786
Lamar,Beaumont,TX,30.042738,-94.072244
Le Moyne,Syracuse,NY,43.049192,-76.090435
Lehigh,Bethlehem,PA,40.606822,-75.380236
Liberty,Lynchburg,VA,37.350232,-79.18222
Lindenwood,Saint Charles,MO,38.785425,-90.501286
Lipscomb,Nashville,TN,36.106253,-86.799791
Little Rock,Little Rock,AR,34.723254,-92.339778
Long Beach St.,Long Beach,CA,33.782818,-118.11204
Longwood,Farmville,VA,37.301137,-78.39575
Louisiana,Lafayette,LA,30.212191,-92.020165
Louisiana Tech,Ruston,LA,32.528297,-92.649963
Louisville,Louisville,KY,38.216862,-85.760412
Loyola (LA),New Orleans,LA,29.936141,-90.120417
Loyola Chicago,Chicago,IL,42.000765,-87.656872
Maine,Orono,ME,44.899257,-68.669332
Manhattan,Riverdale,NY,40.889756,-73.901893
Marist,Poughkeepsie,NY,41.720937,-73.935484
Marshall,Huntington,WV,38.422482,-82.428964
Maryland,College Park,MD,38.988178,-76.944721
Massachusetts,Andover,MA,42.682106,-71.19954
Mayville St.,Mayville,ND,47.505415,-97.322554
McNeese,Lake Charles,LA,30.178187,-93.217222
Memphis,Memphis,TN,35.118878,-89.938068
Mercer,Macon,GA,32.831787,-83.648295
Mercyhurst,Erie,PA,42.10578,-80.053412
Merrimack,North Andover,MA,42.668344,-71.124216
Miami (FL),Coral Gables,FL,25.72126,-80.278662
Miami (OH),Oxford,OH,39.507757,-84.732954
Miami-Hamilton,Hamilton,OH,39.377448,-84.563385
Michigan,Ann Arbor,MI,42.275921,-83.742769
Michigan St.,East Lansing,MI,42.73212,-84.476111
Mid-Amer. Christian,Oklahoma City,OK,35.347785,-97.578297
Mid-Atlantic Christ.,Elizabeth City,NC,36.304673,-76.217139
Middle Ga. St.,Macon,GA,32.808092,-83.732058
Middle Tenn.,Murfreesboro,TN,35.848005,-86.360618
Milwaukee,Milwaukee,WI,43.076848,-87.880488
Minnesota,Minneapolis,MN,44.972851,-93.235464
Mississippi St.,Mississippi State,MS,33.454852,-88.790139
Mississippi Val.,Itta Bena,MS,33.514142,-90.341274
Missouri,Columbia,MO,38.94531,-92.328843
Missouri St.,Maryville,MO,40.351692,-94.883339
Mobile,Mobile,AL,30.793247,-88.128934
Monmouth,West Long Branch,NJ,40.280066,-74.006447
Montana,Helena,MT,46.595384,-112.016035
Morehead St.,Morehead,KY,38.186768,-83.434021
Morgan St.,Baltimore,MD,39.344161,-76.585565
Morris,Sumter,SC,33.938574,-80.346155
Mount St. Mary's,Emmitsburg,MD,39.681705,-77.351887
Murray St.,Murray,KY,36.612419,-88.323629
N.C. A&T,Greensboro,NC,36.07282,-79.773375
N.C. Central,Durham,NC,35.974237,-78.898602
NC State,Raleigh,NC,35.785111,-78.674517
NIU,Dekalb,IL,41.933869,-88.766428
NJIT,Newark,NJ,40.741997,-74.177113
Navy,Annapolis,MD,38.980507,-76.481692
Nebraska,Lincoln,NE,40.817598,-96.700508
Nevada,Reno,NV,39.543642,-119.815377
New College (FL),Sarasota,FL,27.384925,-82.55858
New Haven,West Haven,CT,41.291314,-72.961472
New Mexico,Gallup,NM,35.502662,-108.727252
New Mexico St.,Las Cruces,NM,32.354486,-106.737172
New Orleans,New Orleans,LA,30.027704,-90.067142
Niagara,Niagara University,NY,43.137279,-79.036689
Nicholls,Thibodaux,LA,29.794486,-90.801571
Norfolk St.,Norfolk,VA,36.848429,-76.261375
North Ala.,Florence,AL,34.806738,-87.681361
North Carolina,Chapel Hill,NC,35.911769,-79.050969
North Dakota,Grand Forks,ND,47.921654,-97.071738
North Dakota St.,Fargo,ND,46.893127,-96.800838
North Florida,Jacksonville,FL,30.27194,-81.509144
North Texas,Denton,TX,33.211178,-97.148422
Northeastern,Boston,MA,42.339992,-71.088782
Northern Colo.,Greeley,CO,40.410855,-104.692777
Northern Ky.,Highland Heights,KY,39.029714,-84.463483
Northwestern,Evanston,IL,42.050356,-87.679858
Northwestern (IA),Orange City,IA,42.999007,-96.058772
Northwestern St.,Natchitoches,LA,31.750666,-93.097797
Notre Dame,Notre Dame,IN,41.703058,-86.238959
Oakland,Rochester Hills,MI,42.674573,-83.216418
Ohio,Athens,OH,39.326798,-82.100985
Ohio St.,Columbus,OH,39.999324,-83.014853
Okla. Panhandle,Goodwell,OK,36.594518,-101.638488
Oklahoma,Norman,OK,35.209407,-97.444211
Oklahoma St.,Alva,OK,36.796658,-98.667673
Old Dominion,Norfolk,VA,36.886418,-76.30666
Ole Miss,University,MS,34.365529,-89.537434
Omaha,Omaha,NE,41.258769,-96.008516
Oral Roberts,Tulsa,OK,36.049129,-95.952547
Oregon,Eugene,OR,44.045146,-123.075792
Oregon St.,Corvallis,OR,44.56395,-123.274723
Oregon Tech,Klamath Falls,OR,42.257152,-121.785177
Our Lady of the Lake,San Antonio,TX,29.426194,-98.54365
Pacific,Stockton,CA,37.981424,-121.312301
Paine,Augusta,GA,33.469545,-81.993225
Penn,Philadelphia,PA,39.950929,-75.19391
Penn St.,University Park,PA,40.7965,-77.862848
Penn St.-Beaver,Monaca,PA,40.678254,-80.296235
Penn St.-Brandywine,Media,PA,39.926381,-75.446983
Penn St.-Du Bois,DuBois,PA,41.126941,-78.751784
Penn St.-Fayette,Lemont Furnace,PA,39.947217,-79.657769
Penn St.-Gr Allegheny,McKeesport,PA,40.345582,-79.827447
Penn St.-Hazleton,Hazleton,PA,40.983958,-76.031061
Penn St.-New Kens.,New Kensington,PA,40.551159,-79.697232
Penn St.-Schuylkill,Schuylkill Haven,PA,40.640499,-76.166326
Penn St.-Scranton,Dunmore,PA,41.440258,-75.620583
Penn St.-Shenango,Sharon,PA,41.235053,-80.508764
Penn St.-Wilkes Barre,Lehman,PA,41.306003,-76.016599
Penn St.-York,York,PA,39.952327,-76.702835
Pepperdine,Malibu,CA,34.037786,-118.707077
Philander Smith,Little Rock,AR,34.737131,-92.283015
Pittsburgh,Pittsburgh,PA,40.444388,-79.953254
Point U.,West Point,GA,32.87912,-85.184931
Portland,Portland,OR,45.572724,-122.726691
Portland St.,Portland,OR,45.511601,-122.686289
Prairie View,Prairie View,TX,30.092425,-95.989475
Presbyterian,Clinton,SC,34.465834,-81.87448
Princeton,Princeton,NJ,40.348732,-74.659365
Providence,Providence,RI,41.842742,-71.437446
Providence Christian,Pasadena,CA,34.149327,-118.141062
Purdue,West Lafayette,IN,40.428206,-86.914435
Purdue Fort Wayne,Fort Wayne,IN,41.117278,-85.108962
Queens (NC),Charlotte,NC,35.189051,-80.833509
Quinnipiac,Hamden,CT,41.418915,-72.894117
Radford,Radford,VA,37.136907,-80.549728
Randall,Moore,OK,35.300757,-97.491107
Rhode Island,Kingston,RI,41.484691,-71.527356
Rice,Houston,TX,29.717897,-95.402035
Richmond,University of Richmond,VA,37.577393,-77.538806
Rider,Lawrenceville,NJ,40.278796,-74.737833
Robert Morris,Moon Township,PA,40.520415,-80.210468
Rochester Univ. (MI),Rochester Hills,MI,42.667521,-83.144959
Rust,Holly Springs,MS,34.776862,-89.446999
Rutgers,New Brunswick,NJ,40.498769,-74.446251
SAGU American Indian,Waxahachie,TX,32.40443,-96.853492
SFA,Nacogdoches,TX,31.621056,-94.64908
SIUE,Edwardsville,IL,38.793949,-89.997779
Sacramento St.,Sacramento,CA,38.559415,-121.423549
Sacred Heart,Fairfield,CT,41.220893,-73.243332
Saint Francis,Loretto,PA,40.506734,-78.63904
Saint Joseph's,Philadelphia,PA,39.994442,-75.238343
Saint Louis,Saint Louis,MO,38.636801,-90.2351
Saint Mary's (CA),Moraga,CA,37.840731,-122.109031
Saint Peter's,Jersey City,NJ,40.727105,-74.071541
Sam Houston,Huntsville,TX,30.714738,-95.546205
Samford,Birmingham,AL,33.464128,-86.791799
San Diego,San Diego,CA,32.770816,-117.192073
San Diego St.,San Diego,CA,32.77525,-117.071228
San Francisco,San Francisco,CA,37.776618,-122.450477
San Jose St.,San Jose,CA,37.336569,-121.880621
Santa Clara,Santa Clara,CA,37.348362,-121.93784
Science & Arts Okla.,Chickasha,OK,35.031392,-97.95641
Seattle U,Seattle,WA,47.608859,-122.318851
Seton Hall,South Orange,NJ,40.742336,-74.246027
Siena,Loudonville,NY,42.717602,-73.7526
Simpson (CA),Redding,CA,40.61334,-122.332981
South Alabama,Mobile,AL,30.696033,-88.178711
South Carolina,Columbia,SC,33.996788,-81.026935
South Carolina St.,Orangeburg,SC,33.497968,-80.848722
South Dakota,Vermillion,SD,42.786019,-96.925283
South Dakota St.,Brookings,SD,44.317485,-96.782139
South Fla.,Tampa,FL,28.061458,-82.413232
Southeast Mo. St.,Cape Girardeau,MO,37.311107,-89.531187
Southeastern (FL),Lakeland,FL,28.029733,-81.918382
Southeastern Bapt.,Laurel,MS,31.748512,-89.149373
Southeastern La.,Hammond,LA,30.514652,-90.468676
Southern California,Los Angeles,CA,34.021281,-118.284169
Southern Ill.,Carbondale,IL,37.714193,-89.217273
Southern Ind.,Evansville,IN,37.962374,-87.677214
Southern Miss.,Hattiesburg,MS,31.32661,-89.331236
Southern U.,Baton Rouge,LA,30.524558,-91.190105
Southern Utah,Cedar City,UT,37.674617,-113.070146
Southern-N.O.,New Orleans,LA,30.026162,-90.044912
Southwestern (KS),Winfield,KS,37.248608,-96.975405
St. Andrews,Laurinburg,NC,34.74563,-79.478567
St. Bonaventure,Saint Bonaventure,NY,42.080191,-78.481107
St. Francis (IL),Joliet,IL,41.532225,-88.096057
St. John's (NY),Queens,NY,40.722523,-73.796104
St. Katherine,San Marcos,CA,33.1434,-117.1661
St. Thomas (FL),Miami Gardens,FL,25.922071,-80.253273
St. Thomas (MN),Saint Paul,MN,44.943439,-93.188986
St. Xavier,Chicago,IL,41.707199,-87.714749
Stanford,Stanford,CA,37.429434,-122.167359
Stetson,DeLand,FL,29.035475,-81.300746
Stillman,Tuscaloosa,AL,33.200006,-87.585278
Stonehill,Easton,MA,42.05905,-71.080632
Stony Brook,Stony Brook,NY,40.91476,-73.12046
Syracuse,Syracuse,NY,43.040176,-76.136975
TBA,TBA,TBA,0,0
TCU,Fort Worth,TX,32.70961,-97.364758
Talladega,Talladega,AL,33.433472,-86.112704
Tarleton St.,Stephenville,TX,32.214988,-98.214866
Tenn. Southern,Pulaski,TN,35.1998,-87.0306
Tennessee,Knoxville,TN,35.952082,-83.925852
Tennessee St.,Nashville,TN,36.166321,-86.828275
Tennessee Tech,Cookeville,TN,36.174754,-85.504039
Tex. A&M-Texarkana,Texarkana,TX,33.490482,-94.103617
Texas,Austin,TX,30.282825,-97.738273
Texas A&M,College Station,TX,30.618726,-96.336475
Texas Southern,Houston,TX,29.721046,-95.361113
Texas St.,San Marcos,TX,29.888885,-97.943029
Texas Tech,Lubbock,TX,33.583448,-101.874783
The Citadel,Charleston,SC,32.797183,-79.958775
Thomas (GA),Thomasville,GA,30.815576,-83.963587
Toccoa Falls,Toccoa Falls,GA,34.593414,-83.357617
Toledo,Toledo,OH,41.660572,-83.614714
Tougaloo,Tougaloo,MS,32.403014,-90.16076
Towson,Towson,MD,39.393622,-76.611164
Trinity Christian,Palos Heights,IL,41.667687,-87.783973
Troy,Troy,AL,31.800672,-85.957094
Tulane,New Orleans,LA,29.940069,-90.122144
Tulsa,Tulsa,OK,36.152324,-95.945941
UAB,Birmingham,AL,33.505697,-86.799345
UAlbany,Albany,NY,42.685489,-73.824662
UC Clermont,Batavia,OH,39.080645,-84.19437
UC Davis,Davis,CA,38.539667,-121.749567
UC Irvine,Irvine,CA,33.648434,-117.841248
UC Riverside,Riverside,CA,33.97246,-117.32741
UC San Diego,La Jolla,CA,32.877749,-117.235866
UC Santa Barbara,Santa Barbara,CA,34.416297,-119.846426
UCF,Orlando,FL,28.602159,-81.200889
UCLA,Los Angeles,CA,34.07178,-118.442179
UConn,Storrs,CT,41.809098,-72.249948
UHSP,Saint Louis,MO,38.636904,-90.260617
UIC,Chicago,IL,41.871837,-87.650503
UIW,San Antonio,TX,29.46708,-98.46583
ULM,Monroe,LA,32.527748,-92.07374
UMBC,Baltimore,MD,39.256686,-76.711607
UMES,Princess Anne,MD,38.207386,-75.686852
UMass Lowell,Lowell,MA,42.652864,-71.326809
UNC Asheville,Asheville,NC,35.617068,-82.565392
UNC Greensboro,Greensboro,NC,36.068236,-79.809414
UNCW,Wilmington,NC,34.225223,-77.875527
UNI,Cedar Falls,IA,42.514923,-92.459703
UNLV,Las Vegas,NV,36.106047,-115.138462
USC Upstate,Spartanburg,SC,34.996403,-81.970583
UT Arlington,Arlington,TX,32.729718,-97.11296
UT Martin,Martin,TN,36.340338,-88.864211
UTEP,El Paso,TX,31.77015,-106.504098
UTRGV,Edinburg,TX,26.306759,-98.173567
UTSA,San Antonio,TX,29.583709,-98.620657
Union (KY),Barbourville,KY,36.870875,-83.888477
Utah,Salt Lake City,UT,40.762484,-111.846044
Utah St.,Logan,UT,41.740748,-111.81391
Utah Tech,Saint George,UT,37.102769,-113.565903
Utah Valley,Orem,UT,40.281078,-111.716456
VCU,Richmond,VA,37.54962,-77.452697
VMI,Lexington,VA,37.7896,-79.437067
Valley City St.,Valley City,ND,46.918517,-98.00389
Valparaiso,Valparaiso,IN,41.462239,-87.040172
Vanderbilt,Nashville,TN,36.14659,-86.803369
Villanova,Villanova,PA,40.039388,-75.345457
Virginia,Charlottesville,VA,38.035665,-78.503428
Virginia Tech,Blacksburg,VA,37.229012,-80.423675
Viterbo,La Crosse,WI,43.803133,-91.244297
Voorhees,Denmark,SC,33.307199,-81.127863
Wagner,Staten Island,NY,40.615588,-74.092913
Wake Forest,Winston-Salem,NC,36.133609,-80.277446
Waldorf,Forest City,IA,43.262923,-93.641714
Washington,Seattle,WA,47.65538,-122.30514
Washington St.,Pullman,WA,46.730448,-117.158168
Wayland Baptist,Plainview,TX,34.187677,-101.730042
Weber St.,Ogden,UT,41.192591,-111.944845
West Ga.,Carrollton,GA,33.573621,-85.097762
West Va. Tech,Beckley,WV,37.775924,-81.184072
West Virginia,Morgantown,WV,39.634371,-79.954391
Westcliff,Irvine,CA,33.685537,-117.847973
Western Caro.,Cullowhee,NC,35.308979,-83.186258
Western Ill.,Macomb,IL,40.468086,-90.686899
Western Ky.,Bowling Green,KY,36.985035,-86.456828
Western Mich.,Kalamazoo,MI,42.282194,-85.613759
Wichita St.,Wichita,KS,37.718882,-97.292361
Wilberforce,Wilberforce,OH,39.707291,-83.880595
Wiley,Marshall,TX,32.537641,-94.376814
William & Mary,Williamsburg,VA,37.269489,-76.708214
William Carey,Hattiesburg,MS,31.305264,-89.291815
William Woods,Fulton,MO,38.860287,-91.950416
Williams Baptist,Walnut Ridge,AR,36.125676,-90.940277
Winthrop,Rock Hill,SC,34.941515,-81.031404
Wisconsin,Madison,WI,43.075409,-89.404098
Wofford,Spartanburg,SC,34.959411,-81.933568
Wright St.,Dayton,OH,39.780634,-84.064881
Wright St.-Lake,Celina,OH,40.546074,-84.509194
Xavier,Cincinnati,OH,39.149547,-84.47465
Xavier (LA),New Orleans,LA,29.964162,-90.107307
Yale,New Haven,CT,41.311158,-72.926688
Youngstown St.,Youngstown,OH,41.104928,-80.64659
