id,team_id,five_yr_hs_commit,five_yr_hs_signed,five_yr_draft,bonus_value,signing_bonus_percent,perc_hs_school,stand_hs_school,committed_year
1,1,2,0,1,150000,0.751,0,0,0
2,2,3,0,4,560000,0.845,0,0,0
3,3,1,1,0,0,0.001,0,0,0
4,4,0,0,0,0,0.001,0,0,0
5,5,0,0,1,125000,0.73,0,0,0
6,6,12,1,3,200000,0.78,0,0,0
7,7,1,0,0,0,0.001,0,0,0
8,8,57,12,22,12457950,0.975,0,0,0
9,9,0,0,0,0,0.001,0,0,0
10,10,1,0,0,0,0.001,0,0,0
11,11,9,0,1,1000,0.682,0,0,0
12,12,0,0,0,0,0.001,0,0,0
13,13,0,0,0,0,0.001,0,0,0
14,14,0,0,0,0,0.001,0,0,0
15,15,0,0,0,0,0.001,0,0,0
16,16,1,0,0,0,0.001,0,0,0
17,17,0,0,0,0,0.001,0,0,0
18,18,0,0,0,0,0.001,0,0,0
19,19,0,0,0,0,0.001,0,0,0
20,20,0,0,0,0,0.001,0,0,0
21,21,0,0,0,0,0.001,0,0,0
22,22,0,0,0,0,0.001,0,0,0
23,23,0,0,0,0,0.001,0,0,0
24,24,0,0,0,0,0.001,0,0,0
25,25,0,0,0,0,0.001,0,0,0
26,26,0,0,0,0,0.001,0,0,0
27,27,4,0,3,275000,0.802,0,0,0
28,28,0,0,0,0,0.001,0,0,0
29,29,10,0,3,235000,0.793,0,0,0
30,30,0,0,0,0,0.001,0,0,0
31,31,44,7,20,14139200,0.981,0,0,0
32,32,48,13,28,18572200,0.988,0,0,0
33,33,0,0,0,0,0.001,0,0,0
34,34,0,0,0,0,0.001,0,0,0
35,35,0,0,0,0,0.001,0,0,0
36,36,80,20,35,25671600,0.992,0,0,0
37,37,3,0,1,30000,0.695,0,0,0
38,38,0,0,0,0,0.001,0,0,0
39,39,2,0,1,172500,0.77,0,0,0
40,40,0,0,0,0,0.001,0,0,0
41,41,1,0,0,0,0.001,0,0,0
42,42,0,0,1,87500,0.717,0,0,0
43,43,57,6,20,7657100,0.956,0,0,0
44,44,0,0,0,0,0.001,0,0,0
45,45,0,0,0,0,0.001,0,0,0
46,46,0,0,0,0,0.001,0,0,0
47,47,0,0,0,0,0.001,0,0,0
48,48,0,0,0,0,0.001,0,0,0
49,49,0,0,0,0,0.001,0,0,0
50,50,0,0,0,0,0.001,0,0,0
51,51,0,0,5,600000,0.854,0,0,0
52,52,0,0,0,0,0.001,0,0,0
53,53,3,0,2,175000,0.772,0,0,0
54,54,1,0,1,125000,0.73,0,0,0
55,55,0,0,0,0,0.001,0,0,0
56,56,6,2,8,2423600,0.919,0,0,0
57,57,0,0,0,0,0.001,0,0,0
58,58,6,0,0,0,0.001,0,0,0
59,59,0,0,0,0,0.001,0,0,0
60,60,0,0,0,0,0.001,0,0,0
61,61,0,0,0,0,0.001,0,0,0
62,62,29,2,7,4246500,0.935,0,0,0
63,63,0,0,0,0,0.001,0,0,0
64,64,0,0,1,100000,0.719,0,0,0
